0,-1672,1003,331
1,-1671,1004,334
2,-1670,1010,332
3,-1673,1011,347
4,-1671,1008,338
5,-1670,1009,334
6,-1672,1009,339
7,-1673,1007,327
8,-1676,1007,344
9,-1671,1005,344
10,-1676,1004,329
11,-1671,1008,330
12,-1671,1009,332
13,-1666,1007,339
14,-1670,1011,334
15,-1671,1007,317
16,-1673,1001,323
17,-1675,1007,338
18,-1671,1004,329
19,-1671,1004,330
20,-1671,1001,325
21,-1672,1004,330
22,-1677,1001,331
23,-1673,1004,327
24,-1669,1002,329
25,-1674,1004,327
26,-1673,999,334
27,-1676,1005,340
28,-1674,1004,331
29,-1676,1009,323
30,-1678,1006,328
31,-1671,1010,333
32,-1676,1005,337
33,-1674,1004,336
34,-1676,1003,344
35,-1675,999,336
36,-1672,1000,345
37,-1669,1007,345
38,-1671,1008,323
39,-1670,1003,329
40,-1674,1006,337
41,-1673,1007,333
42,-1673,1012,339
43,-1671,1005,336
44,-1672,1004,342
45,-1671,998,324
46,-1673,1004,329
47,-1675,1010,332
48,-1675,1007,337
49,-1674,1006,346
50,-1673,1004,341
51,-1673,998,334
52,-1667,1001,329
53,-1671,1007,327
54,-1672,1007,333
55,-1673,1008,338
56,-1676,1006,326
57,-1676,1007,338
58,-1676,1005,326
59,-1672,1003,339
60,-1674,1011,333
61,-1671,1009,328
62,-1670,1007,328
63,-1671,1004,335
64,-1667,1002,338
65,-1673,1006,344
66,-1671,1008,330
67,-1677,1007,334
68,-1675,1001,348
69,-1670,1012,322
70,-1669,1008,330
71,-1675,1008,331
72,-1671,1004,347
73,-1675,1008,344
74,-1675,1005,331
75,-1673,1005,327
76,-1673,1003,340
77,-1674,1002,334
78,-1671,1004,324
79,-1673,1004,335
80,-1674,1008,337
81,-1673,1006,340
82,-1672,1004,338
83,-1674,1006,336
84,-1671,1007,339
85,-1670,1008,322
86,-1673,1003,328
87,-1668,1003,328
88,-1671,1009,332
89,-1674,1002,344
90,-1672,1008,334
91,-1677,1007,332
92,-1676,1003,332
93,-1674,1000,323
94,-1672,1009,330
95,-1674,1009,339
96,-1675,1013,343
97,-1673,1010,332
98,-1672,1001,329
99,-1675,1011,339
100,-1679,1007,338
101,-1675,1010,338
102,-1676,1005,332
103,-1669,1007,338
104,-1672,1002,328
105,-1678,1003,344
106,-1679,1005,335
107,-1676,1006,339
108,-1679,1005,339
109,-1674,1004,336
110,-1674,1007,327
111,-1677,1005,332
112,-1667,1006,338
113,-1674,1004,339
114,-1674,1007,341
115,-1675,1002,336
116,-1675,1005,338
117,-1666,1004,340
118,-1678,1005,331
119,-1672,1006,337
120,-1677,1008,338
121,-1669,1007,340
122,-1672,1005,334
123,-1672,1007,329
124,-1671,1004,336
125,-1674,1005,346
126,-1677,1006,333
127,-1674,1008,337
128,-1674,1006,339
129,-1671,1007,331
130,-1678,1000,335
131,-1674,1005,340
132,-1671,1003,330
133,-1671,1008,325
134,-1674,1008,334
135,-1672,1007,339
136,-1675,1008,324
137,-1672,1004,319
138,-1672,1003,335
139,-1669,1005,346
140,-1673,1002,338
141,-1668,1009,327
