23:04:31.436297,0,-1704,1048,192
23:04:31.454327,1,-1702,1050,192
23:04:31.472163,2,-1703,1052,193
23:04:31.489937,3,-1696,1048,194
23:04:31.507748,4,-1703,1050,183
23:04:31.525531,5,-1703,1047,186
23:04:31.543263,6,-1706,1046,189
23:04:31.561066,7,-1706,1042,177
23:04:31.578798,8,-1704,1047,188
23:04:31.596593,9,-1700,1049,190
23:04:31.614325,10,-1703,1045,178
23:04:31.632053,11,-1703,1041,188
23:04:31.649789,12,-1705,1043,190
23:04:31.667524,13,-1704,1046,189
23:04:31.685325,14,-1706,1047,189
23:04:31.703056,15,-1705,1048,190
23:04:31.720800,16,-1702,1047,185
23:04:31.738542,17,-1709,1048,190
23:04:31.756330,18,-1704,1049,175
23:04:31.774065,19,-1704,1045,189
23:04:31.791800,20,-1703,1045,194
23:04:31.809609,21,-1708,1046,185
23:04:31.827368,22,-1709,1048,192
23:04:31.845170,23,-1702,1049,187
23:04:31.862913,24,-1700,1045,194
23:04:31.880722,25,-1707,1046,188
23:04:31.898552,26,-1702,1048,193
23:04:31.916373,27,-1703,1047,180
23:04:31.934239,28,-1705,1050,196
23:04:31.952106,29,-1703,1047,197
23:04:31.969914,30,-1705,1048,188
23:04:31.987794,31,-1703,1046,182
23:04:32.005671,32,-1701,1048,183
23:04:32.023481,33,-1700,1047,181
23:04:32.041290,34,-1701,1050,186
23:04:32.059161,35,-1701,1048,173
23:04:32.077137,36,-1702,1043,180
23:04:32.094959,37,-1699,1042,190
23:04:32.112835,38,-1705,1049,183
23:04:32.130639,39,-1708,1046,194
23:04:32.148437,40,-1710,1046,186
23:04:32.166288,41,-1701,1046,168
23:04:32.184141,42,-1707,1045,181
23:04:32.201953,43,-1702,1048,188
23:04:32.219801,44,-1703,1045,187
23:04:32.237677,45,-1701,1047,184
23:04:32.255477,46,-1705,1048,188
23:04:32.273326,47,-1705,1049,182
23:04:32.291194,48,-1702,1048,187
23:04:32.309009,49,-1702,1053,181
23:04:32.326881,50,-1704,1046,179
23:04:32.344729,51,-1705,1048,190
23:04:32.362536,52,-1702,1040,185
23:04:32.380365,53,-1705,1044,184
23:04:32.398219,54,-1707,1045,180
23:04:32.416027,55,-1708,1042,181
23:04:32.433878,56,-1706,1046,176
23:04:32.451832,57,-1707,1044,190
23:04:32.469820,58,-1704,1042,190
23:04:32.487734,59,-1704,1044,187
23:04:32.505567,60,-1702,1045,190
23:04:32.523449,61,-1706,1046,191
23:04:32.541325,62,-1704,1047,181
23:04:32.559149,63,-1701,1046,182
23:04:32.577102,64,-1702,1051,191
23:04:32.594974,65,-1704,1047,179
23:04:32.612789,66,-1703,1047,185
